Y,url,music,length,numofcats,views,jumping,nopeople,title
1,https://www.youtube.com/watch?v=kDolQlZWSmw,1,6:28,1,3055989,1,1,I am maru
1,https://www.youtube.com/watch?v=8uDuls5TyNE,0,5:30,1,3541708,1,1,maru greatest hits IV
0,https://www.youtube.com/watch?v=INscMGmhmX4,0,0:56,1,13000000,0,0,the original grumpy cat
0,https://www.youtube.com/watch?v=GbycvPwr1Wg,1,2:29,0,14759405,0,0,cat friend versus dog friend
1,https://www.youtube.com/watch?v=2XID_W4neJo,0,2:58,1,11126592,1,1,many too small boxes and maru
1,https://www.youtube.com/watch?v=HBfy_kjkt4I,1,1:32,23,4908988,1,0,french ninja cats
1,https://www.youtube.com/watch?v=0M7ibPk37_U,1,2:30,1,2421475,0,1,"henri, le chat"
1,https://www.youtube.com/watch?v=Q34z5dCmC4M,1,2:06,2,7895029,0,0,"henri, paw de deux"
0,https://www.youtube.com/watch?v=cbP2N1BQdYc,1,2:40,15,3888232,1,0,Top 10 best cat videos of all time
1,https://www.youtube.com/watch?v=UCUNvOEveoc&feature=c4-overview&list=UURVruzlQF5cqpw9jQgIgNdw,0,0:25,2,309005,0,1,hana turns and maru watches
1,https://www.youtube.com/watch?v=aP3gzee1cps,0,0:23,1,16848708,0,1,Cat gets caught barking by human and resumes
1,https://www.youtube.com/watch?v=DNeaZz9Vt6Q,0,1:15,1,37264312,1,1,Brave kitten stands up to dog
0,https://www.youtube.com/watch?v=8I-lHN1UQUE,0,0:30,1,10295,0,0,Hamilton the hipster cat
0,https://www.youtube.com/watch?v=P8TpXTXk7gg,1,1:37,1,750745,0,0,Colonel Meow – Longest cat fur on record
1,,1,5:21,1,12012333,0,1,
1,,1,4:21,2,1100000,0,1,
0,,0,0:05,0,1400,1,0,
0,,0,0:9,1,70105,0,0,
1,,0,3:10,3,3100000,0,0,
1,,1,8:10,2,391200,1,1,
,https://www.youtube.com/watch?v=eYlTO1jP_BY,1,3:21,1,3078151,1,1,I am maru 5
